BLOCK,DELTA,AGE,TYPE,TREATMENT
1,70,127,MANAGED,CC
1,231,161,MANAGED,CC
2,51,108,MANAGED,CC
2,141,90,MANAGED,CC
2,241,100,MANAGED,CC
3,161,198,MANAGED,CC
3,260,99,MANAGED,CC
4,17,74,MANAGED,CC
4,107,90,MANAGED,CC
4,197,90,MANAGED,CC
4,287,90,MANAGED,CC
6,83,170,MANAGED,CC
6,240,157,MANAGED,CC
7,161,218,MANAGED,CC
9,27,84,MANAGED,CC
9,117,90,MANAGED,CC
9,211,94,MANAGED,CC
9,290,79,MANAGED,CC
11,45,102,MANAGED,CC
11,160,115,MANAGED,CC
11,270,110,MANAGED,CC
12,43,90,MANAGED,CC
12,83,40,MANAGED,CT
12,94,51,MANAGED,F1
12,104,61,MANAGED,F2
12,134,91,MANAGED,CC
12,174,40,MANAGED,CT
12,210,76,MANAGED,CC
13,71,118,MANAGED,CC
13,191,120,MANAGED,CC
13,270,79,MANAGED,CC
14,42,89,MANAGED,CC
14,82,40,MANAGED,CT
14,128,86,MANAGED,CC
14,168,40,MANAGED,CT
14,179,51,MANAGED,F1
14,189,61,MANAGED,F2
15,11,138,MANAGED,CC
15,111,100,MANAGED,CC
15,210,99,MANAGED,CC
15,290,80,MANAGED,CC
16,10,137,MANAGED,CC
16,50,40,MANAGED,CT
16,167,157,MANAGED,CC
16,207,40,MANAGED,CT
16,233,66,MANAGED,F1
16,270,103,MANAGED,CC
17,73,140,MANAGED,CC
17,160,87,MANAGED,CC
17,260,100,MANAGED,CC
19,10,137,MANAGED,CC
19,100,90,MANAGED,CC
19,210,110,MANAGED,CC
19,300,90,MANAGED,CC
20,32,79,MANAGED,CC
20,72,40,MANAGED,CT
20,111,79,MANAGED,CC
20,151,40,MANAGED,CT
20,203,92,MANAGED,CC
20,243,40,MANAGED,CT
20,295,92,MANAGED,CC
21,3,70,MANAGED,CC
21,84,81,MANAGED,CC
21,174,90,MANAGED,CC
21,248,74,MANAGED,CC
22,30,87,MANAGED,CC
22,70,40,MANAGED,CT
22,151,121,MANAGED,CC
22,240,89,MANAGED,CC
22,280,40,MANAGED,CT
23,41,168,MANAGED,CC
23,183,142,MANAGED,CC
23,290,107,MANAGED,CC
25,60,117,MANAGED,CC
25,202,142,MANAGED,CC
25,290,88,MANAGED,CC
26,26,73,MANAGED,CC
26,101,75,MANAGED,CC
26,190,89,MANAGED,CC
26,278,88,MANAGED,CC
27,61,268,MANAGED,CC
27,200,139,MANAGED,CC
27,300,100,MANAGED,CC
28,13,70,MANAGED,CC
28,53,40,MANAGED,CT
28,102,89,MANAGED,CC
28,192,90,MANAGED,CC
28,232,40,MANAGED,CT
28,280,88,MANAGED,CC
29,19,76,MANAGED,CC
29,91,72,MANAGED,CC
29,180,89,MANAGED,CC
29,260,80,MANAGED,CC
30,17,124,MANAGED,CC
30,135,118,MANAGED,CC
30,250,115,MANAGED,CC
32,54,331,MANAGED,CC
32,94,40,MANAGED,CT
32,120,66,MANAGED,F1
32,130,76,MANAGED,F2
32,252,198,MANAGED,CC
32,292,40,MANAGED,CT
33,12,139,MANAGED,CC
33,52,40,MANAGED,CT
33,68,56,MANAGED,F1
33,155,143,MANAGED,CC
33,195,40,MANAGED,CT
33,270,115,MANAGED,CC
34,1,238,MANAGED,CC
34,170,169,MANAGED,CC
34,290,120,MANAGED,CC
35,51,108,MANAGED,CC
35,135,84,MANAGED,CC
35,225,90,MANAGED,CC
36,101,148,MANAGED,CC
36,191,90,MANAGED,CC
36,270,79,MANAGED,CC
37,13,140,MANAGED,CC
37,158,145,MANAGED,CC
37,260,102,MANAGED,CC
40,151,388,MANAGED,CC
40,280,129,MANAGED,CC
41,13,70,MANAGED,CC
41,85,72,MANAGED,CC
41,159,74,MANAGED,CC
41,240,81,MANAGED,CC
42,1,128,MANAGED,CC
42,85,84,MANAGED,CC
42,190,105,MANAGED,CC
42,290,100,MANAGED,CC
43,47,94,MANAGED,CC
43,87,40,MANAGED,CT
43,103,56,MANAGED,F1
43,113,66,MANAGED,F2
43,212,165,MANAGED,CC
43,252,40,MANAGED,CT
44,30,87,MANAGED,CC
44,171,141,MANAGED,CC
44,261,90,MANAGED,CC
45,30,137,MANAGED,CC
45,140,110,MANAGED,CC
45,260,120,MANAGED,CC
46,28,265,MANAGED,CC
46,250,222,MANAGED,CC
47,71,148,MANAGED,CC
47,190,119,MANAGED,CC
47,280,90,MANAGED,CC
48,63,106,MANAGED,CC
48,190,127,MANAGED,CC
48,290,100,MANAGED,CC
49,112,159,MANAGED,CC
49,152,40,MANAGED,CT
49,168,56,MANAGED,F1
49,178,66,MANAGED,F2
49,230,118,MANAGED,CC
49,270,40,MANAGED,CT
50,1,238,MANAGED,CC
50,117,116,MANAGED,CC
50,230,113,MANAGED,CC
51,71,174,MANAGED,CC
51,202,131,MANAGED,CC
51,290,88,MANAGED,CC
53,81,258,MANAGED,CC
53,210,129,MANAGED,CC
53,250,40,MANAGED,CT
53,276,66,MANAGED,F1
53,286,76,MANAGED,F2
53,296,86,MANAGED,F3
54,73,120,MANAGED,CC
54,180,107,MANAGED,CC
54,289,109,MANAGED,CC
56,57,104,MANAGED,CC
56,170,113,MANAGED,CC
56,270,100,MANAGED,CC
57,62,109,MANAGED,CC
57,102,40,MANAGED,CT
57,118,56,MANAGED,F1
57,189,127,MANAGED,CC
57,229,40,MANAGED,CT
57,290,101,MANAGED,CC
58,10,247,MANAGED,CC
58,50,40,MANAGED,CT
58,210,200,MANAGED,CC
58,250,40,MANAGED,CT
58,276,66,MANAGED,F1
58,286,76,MANAGED,F2
61,1,108,MANAGED,CC
61,82,81,MANAGED,CC
61,169,87,MANAGED,CC
61,249,80,MANAGED,CC
62,43,90,MANAGED,CC
62,133,90,MANAGED,CC
62,231,98,MANAGED,CC
63,30,77,MANAGED,CC
63,121,91,MANAGED,CC
63,212,91,MANAGED,CC
63,290,78,MANAGED,CC
64,2,239,MANAGED,CC
64,42,40,MANAGED,CT
64,68,66,MANAGED,F1
64,162,160,MANAGED,CC
64,202,40,MANAGED,CT
64,270,108,MANAGED,CC
66,30,87,MANAGED,CC
66,110,80,MANAGED,CC
66,193,83,MANAGED,CC
66,270,77,MANAGED,CC
67,43,90,MANAGED,CC
67,133,90,MANAGED,CC
67,220,87,MANAGED,CC
67,300,80,MANAGED,CC
68,251,308,MANAGED,CC
69,109,156,MANAGED,CC
69,149,40,MANAGED,CT
69,160,51,MANAGED,F1
69,214,105,MANAGED,CC
69,254,40,MANAGED,CT
69,265,51,MANAGED,F1
70,10,137,MANAGED,CC
70,134,124,MANAGED,CC
70,174,40,MANAGED,CT
70,200,66,MANAGED,F1
70,250,116,MANAGED,CC
70,290,40,MANAGED,CT
71,3,130,MANAGED,CC
71,112,109,MANAGED,CC
71,220,108,MANAGED,CC
71,300,80,MANAGED,CC
72,23,124,MANAGED,CC
72,63,40,MANAGED,CT
72,112,89,MANAGED,CC
72,152,40,MANAGED,CT
72,200,88,MANAGED,CC
72,289,89,MANAGED,CC
73,1,262,MANAGED,CC
73,134,133,MANAGED,CC
73,174,40,MANAGED,CT
73,190,56,MANAGED,F1
73,250,116,MANAGED,CC
73,290,40,MANAGED,CT
74,81,138,MANAGED,CC
74,160,79,MANAGED,CC
74,250,90,MANAGED,CC
76,61,298,MANAGED,CC
76,160,99,MANAGED,CC
76,270,110,MANAGED,CC
77,33,90,MANAGED,CC
77,123,90,MANAGED,CC
77,213,90,MANAGED,CC
77,290,77,MANAGED,CC
78,43,90,MANAGED,CC
78,120,77,MANAGED,CC
78,200,80,MANAGED,CC
78,295,95,MANAGED,CC
79,11,188,MANAGED,CC
