TARGET,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10,Period 11,Period 12,Period 13,Period 14,Period 15,Period 16,Period 17,Period 18,Period 19,Period 20,Period 21,Period 22,Period 23,Period 24,Period 25,Period 26,Period 27,Period 28,Period 29,Period 30
feature.Yield.managed.Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.182072E7,1.4815638E8,1.5065251E8,1.0922161E8,7.214067E7
flow.even.product.Yield.managed.Total,428.49000000000007,216.08999999999997,0.25,33.64,2265.76,225.0,1.44,275.56000000000006,100.00000000000001,73.96000000000002,0.04,0.36,256.0,2.56,9.61,0.16,0.09,0.04,0.01,18.490000000000006,0.25,0.25,0.09,0.16,0.0,2.25,0.09,0.04,0.0,0.0
product.Treated.managed.CT,3.8463053738312394E14,3.9999999311872E14,3.9999999311872E14,3.9999999311872E14,0.0,1.781684069349332E13,1.6633260613854688E14,2.314572060181953E13,0.0,2.5792359556288877E12,0.0,6.7420519840151305E13,3.366857952079269E14,1.1751183797842033E13,1.730559970228831E11,8.07128086114814E12,0.0,1.4103937357367138E14,9.060099844137291E12,2.97907594875036E12,7.160975876808299E12,0.0,3.9999999311872E14,3.3771412319023625E14,3.782249934933198E13,1.2398822286700578E14,1.4786559745623853E14,2.2686168609725297E13,2.4009999586951176E13,3.197301554996181E14
product.Yield.managed.Total,2.1480199912017098E13,1.5474199936617676E13,1.942999992041472E11,6.53489997323305E12,4.831319980210913E13,1.5801099935278693E13,1.9778999918985215E12,1.7371199928847566E13,1.0801199955758285E13,9.303299961893684E12,4.2499999825919995E11,9.1999999623168E9,1.6747099931403877E13,2.311299990532915E12,3.8856999840841724E12,2.755999988711424E11,3.291999986515968E11,4.6029999811461115E11,5.762999976394751E11,5.041799979348787E12,1.2379999949291519E11,1.80499999260672E11,3.323999986384896E11,2.716999988871168E11,7.463999969427456E11,2.298599990584934E12,3.6329999851192316E11,4.3419999822151685E11,7.40499996966912E11,7.018999971250176E11
