TIME,ITERATION,OBJECTIVE,TYPE,DETAIL
4/3/26, 12:17:00 PM PDT,200000,1.480660688927843E13,Scheduling,
4/3/26, 12:18:25 PM PDT,220000,1.454554541231583E13,Status,"Scheduler still changing by 9.477551647744109% over 52040 attempts, target is 0.1%"
4/3/26, 12:22:19 PM PDT,275000,1.3531551531362303E13,Status,"Scheduler still changing by 7.493552225725016% over 52034 attempts, target is 0.1%"
4/3/26, 12:25:26 PM PDT,330000,1.2975700881899074E13,Status,"Scheduler still changing by 4.283781311872198% over 52031 attempts, target is 0.1%"
4/3/26, 12:28:29 PM PDT,385000,1.2853408154388059E13,Status,"Scheduler still changing by 0.9514420303323659% over 52078 attempts, target is 0.1%"
4/3/26, 12:29:39 PM PDT,400000,1.2840298589542559E13,Scheduling,
4/3/26, 12:31:37 PM PDT,440000,1.2821937956574857E13,Status,"Scheduler still changing by 0.24544025965329072% over 51827 attempts, target is 0.1%"
4/3/26, 12:34:27 PM PDT,495000,1.2694937816894838E13,Status,"Scheduler still changing by 1.0003998563191352% over 51693 attempts, target is 0.1%"
4/3/26, 12:37:57 PM PDT,550000,1.2263019931479615E13,Status,"Scheduler still changing by 3.5221168018040467% over 52041 attempts, target is 0.1%"
4/3/26, 12:41:01 PM PDT,600000,1.2102586263334559E13,Scheduling,
4/3/26, 12:41:05 PM PDT,605000,1.2100773727339459E13,Status,"Scheduler still changing by 1.340791984016617% over 51994 attempts, target is 0.1%"
4/3/26, 12:41:51 PM PDT,660000,1.1636461280483258E13,Status,"Scheduler still changing by 3.9901516076450907% over 51955 attempts, target is 0.1%"
4/3/26, 12:42:33 PM PDT,715000,1.1479305631818559E13,Status,"Scheduler still changing by 1.3690344495148923% over 52191 attempts, target is 0.1%"
4/3/26, 12:43:14 PM PDT,770000,1.1443107191634559E13,Status,"Scheduler still changing by 0.3163340129371744% over 51881 attempts, target is 0.1%"
4/3/26, 12:43:35 PM PDT,800000,1.1436577997184459E13,Scheduling,
4/3/26, 12:43:54 PM PDT,825000,1.1436419217058459E13,Status,"Change 0.05847962066766394% less than global target of 0.1%"
4/3/26, 12:43:54 PM PDT,825093,1.1436419217058459E13,Save scenario,"Save stage scenario_l15h5 to C:\Users\boyd01.stu\Documents\GitHub\femic-k3z-instance----Intensive-Silviculture\models\k3z_patchworks_model\analysis\scenario_l15h5"
