BLOCK,DELTA,AGE,TYPE,TREATMENT
1,152,209,MANAGED,CC
1,258,106,MANAGED,CC
2,79,136,MANAGED,CC
2,193,114,MANAGED,CC
2,264,71,MANAGED,CC
3,162,199,MANAGED,CC
3,275,113,MANAGED,CC
4,34,91,MANAGED,CC
4,115,81,MANAGED,CC
4,201,86,MANAGED,CC
4,278,77,MANAGED,CC
6,181,268,MANAGED,CC
7,156,213,MANAGED,CC
7,286,130,MANAGED,CC
9,25,82,MANAGED,CC
9,95,70,MANAGED,CC
9,167,72,MANAGED,CC
9,240,73,MANAGED,CC
11,95,152,MANAGED,CC
11,233,138,MANAGED,CC
12,133,180,MANAGED,CC
13,23,70,MANAGED,CC
13,93,70,MANAGED,CC
13,201,108,MANAGED,CC
13,279,78,MANAGED,CC
14,42,89,MANAGED,CC
14,122,80,MANAGED,CC
15,3,130,MANAGED,CC
15,178,175,MANAGED,CC
15,272,94,MANAGED,CC
16,11,138,MANAGED,CC
16,251,240,MANAGED,CC
17,21,88,MANAGED,CC
17,196,175,MANAGED,CC
17,293,97,MANAGED,CC
19,71,198,MANAGED,CC
20,63,110,MANAGED,CC
20,145,82,MANAGED,CC
20,235,90,MANAGED,CC
21,4,71,MANAGED,CC
21,103,99,MANAGED,CC
21,179,76,MANAGED,CC
21,260,81,MANAGED,CC
22,67,124,MANAGED,CC
22,162,95,MANAGED,CC
22,232,70,MANAGED,CC
23,93,220,MANAGED,CC
23,181,88,MANAGED,CC
23,280,99,MANAGED,CC
25,31,88,MANAGED,CC
25,180,149,MANAGED,CC
25,297,117,MANAGED,CC
26,23,70,MANAGED,CC
26,115,92,MANAGED,CC
26,185,70,MANAGED,CC
26,262,77,MANAGED,CC
27,9,216,MANAGED,CC
27,221,212,MANAGED,CC
28,76,133,MANAGED,CC
28,211,135,MANAGED,CC
29,45,102,MANAGED,CC
29,161,116,MANAGED,CC
30,30,137,MANAGED,CC
30,121,91,MANAGED,CC
30,232,111,MANAGED,CC
32,39,316,MANAGED,CC
32,139,100,MANAGED,CC
32,252,113,MANAGED,CC
33,81,208,MANAGED,CC
33,232,151,MANAGED,CC
34,71,308,MANAGED,CC
35,13,70,MANAGED,CC
35,92,79,MANAGED,CC
35,181,89,MANAGED,CC
35,255,74,MANAGED,CC
36,96,143,MANAGED,CC
36,171,75,MANAGED,CC
36,254,83,MANAGED,CC
37,71,198,MANAGED,CC
