BLOCK,DELTA,AGE,TYPE,TREATMENT
1,76,133,MANAGED,CC
1,216,140,MANAGED,CC
2,91,148,MANAGED,CC
2,185,94,MANAGED,CC
2,225,40,MANAGED,CT
2,265,80,MANAGED,CC
3,184,221,MANAGED,CC
3,286,102,MANAGED,CC
4,14,71,MANAGED,CC
4,84,70,MANAGED,CC
4,172,88,MANAGED,CC
4,245,73,MANAGED,CC
6,211,298,MANAGED,CC
7,63,120,MANAGED,CC
7,194,131,MANAGED,CC
7,299,105,MANAGED,CC
9,26,83,MANAGED,CC
9,116,90,MANAGED,CC
9,211,95,MANAGED,CC
9,287,76,MANAGED,CC
11,24,81,MANAGED,CC
11,104,80,MANAGED,CC
11,190,86,MANAGED,CC
11,288,98,MANAGED,CC
12,51,98,MANAGED,CC
12,181,130,MANAGED,CC
12,281,100,MANAGED,CC
13,40,87,MANAGED,CC
13,141,101,MANAGED,CC
13,231,90,MANAGED,CC
14,42,89,MANAGED,CC
14,82,40,MANAGED,CT
14,93,51,MANAGED,F1
14,103,61,MANAGED,F2
14,122,80,MANAGED,CC
14,162,40,MANAGED,CT
14,173,51,MANAGED,F1
15,11,138,MANAGED,CC
15,114,103,MANAGED,CC
15,210,96,MANAGED,CC
15,300,90,MANAGED,CC
16,1,128,MANAGED,CC
16,182,181,MANAGED,CC
16,222,40,MANAGED,CT
16,289,107,MANAGED,CC
17,91,158,MANAGED,CC
17,208,117,MANAGED,CC
17,290,82,MANAGED,CC
19,61,188,MANAGED,CC
19,190,129,MANAGED,CC
19,296,106,MANAGED,CC
20,38,85,MANAGED,CC
20,78,40,MANAGED,CT
20,92,54,MANAGED,F1
20,102,64,MANAGED,F2
20,110,72,MANAGED,CC
20,150,40,MANAGED,CT
20,164,54,MANAGED,F1
21,32,99,MANAGED,CC
21,112,80,MANAGED,CC
21,204,92,MANAGED,CC
21,280,76,MANAGED,CC
22,42,99,MANAGED,CC
22,149,107,MANAGED,CC
22,189,40,MANAGED,CT
22,203,54,MANAGED,F1
22,213,64,MANAGED,F2
22,241,92,MANAGED,CC
23,110,237,MANAGED,CC
23,229,119,MANAGED,CC
25,141,198,MANAGED,CC
25,250,109,MANAGED,CC
26,161,208,MANAGED,CC
26,250,89,MANAGED,CC
27,71,278,MANAGED,CC
27,210,139,MANAGED,CC
27,290,80,MANAGED,CC
28,51,108,MANAGED,CC
28,143,92,MANAGED,CC
28,183,40,MANAGED,CT
28,233,90,MANAGED,CC
29,33,90,MANAGED,CC
29,122,89,MANAGED,CC
29,210,88,MANAGED,CC
29,290,80,MANAGED,CC
30,71,178,MANAGED,CC
30,180,109,MANAGED,CC
30,288,108,MANAGED,CC
32,81,358,MANAGED,CC
32,240,159,MANAGED,CC
32,280,40,MANAGED,CT
33,2,129,MANAGED,CC
33,42,40,MANAGED,CT
33,112,110,MANAGED,CC
33,152,40,MANAGED,CT
33,217,105,MANAGED,CC
33,257,40,MANAGED,CT
34,1,238,MANAGED,CC
34,190,189,MANAGED,CC
34,296,106,MANAGED,CC
35,51,108,MANAGED,CC
35,143,92,MANAGED,CC
35,229,86,MANAGED,CC
36,71,118,MANAGED,CC
36,161,90,MANAGED,CC
36,251,90,MANAGED,CC
37,2,129,MANAGED,CC
37,102,100,MANAGED,CC
37,209,107,MANAGED,CC
37,300,91,MANAGED,CC
40,91,328,MANAGED,CC
40,240,149,MANAGED,CC
41,41,98,MANAGED,CC
41,124,83,MANAGED,CC
41,210,86,MANAGED,CC
41,282,72,MANAGED,CC
42,21,148,MANAGED,CC
42,130,109,MANAGED,CC
42,218,88,MANAGED,CC
42,299,81,MANAGED,CC
43,194,241,MANAGED,CC
43,234,40,MANAGED,CT
43,250,56,MANAGED,F1
43,260,66,MANAGED,F2
43,270,76,MANAGED,F3
43,290,96,MANAGED,CC
44,22,79,MANAGED,CC
44,111,89,MANAGED,CC
44,198,87,MANAGED,CC
44,268,70,MANAGED,CC
45,71,178,MANAGED,CC
45,190,119,MANAGED,CC
45,290,100,MANAGED,CC
46,141,378,MANAGED,CC
46,290,149,MANAGED,CC
47,4,81,MANAGED,CC
47,84,80,MANAGED,CC
47,170,86,MANAGED,CC
47,259,89,MANAGED,CC
48,71,114,MANAGED,CC
48,178,107,MANAGED,CC
48,289,111,MANAGED,CC
49,55,102,MANAGED,CC
49,95,40,MANAGED,CT
49,111,56,MANAGED,F1
49,121,66,MANAGED,F2
49,131,76,MANAGED,F3
49,168,113,MANAGED,CC
49,208,40,MANAGED,CT
50,171,408,MANAGED,CC
50,280,109,MANAGED,CC
51,21,124,MANAGED,CC
51,113,92,MANAGED,CC
51,220,107,MANAGED,CC
53,31,208,MANAGED,CC
53,162,131,MANAGED,CC
53,202,40,MANAGED,CT
53,284,122,MANAGED,CC
54,93,140,MANAGED,CC
54,220,127,MANAGED,CC
56,71,118,MANAGED,CC
56,210,139,MANAGED,CC
57,132,179,MANAGED,CC
57,172,40,MANAGED,CT
57,229,97,MANAGED,CC
57,269,40,MANAGED,CT
57,285,56,MANAGED,F1
57,295,66,MANAGED,F2
58,13,250,MANAGED,CC
58,200,187,MANAGED,CC
58,240,40,MANAGED,CT
58,300,100,MANAGED,CC
61,5,112,MANAGED,CC
61,83,78,MANAGED,CC
61,164,81,MANAGED,CC
61,242,78,MANAGED,CC
62,42,89,MANAGED,CC
62,132,90,MANAGED,CC
62,222,90,MANAGED,CC
63,81,128,MANAGED,CC
63,172,91,MANAGED,CC
63,260,88,MANAGED,CC
64,31,268,MANAGED,CC
64,190,159,MANAGED,CC
64,230,40,MANAGED,CT
64,256,66,MANAGED,F1
66,33,90,MANAGED,CC
66,120,87,MANAGED,CC
66,212,92,MANAGED,CC
66,288,76,MANAGED,CC
67,131,178,MANAGED,CC
67,220,89,MANAGED,CC
68,122,179,MANAGED,CC
68,226,104,MANAGED,CC
69,51,98,MANAGED,CC
69,155,104,MANAGED,CC
69,195,40,MANAGED,CT
69,206,51,MANAGED,F1
69,216,61,MANAGED,F2
69,251,96,MANAGED,CC
70,31,158,MANAGED,CC
70,189,158,MANAGED,CC
70,229,40,MANAGED,CT
70,293,104,MANAGED,CC
71,1,128,MANAGED,CC
71,93,92,MANAGED,CC
71,219,126,MANAGED,CC
71,300,81,MANAGED,CC
72,1,102,MANAGED,CC
72,41,40,MANAGED,CT
72,52,51,MANAGED,F1
72,80,79,MANAGED,CC
72,193,113,MANAGED,CC
72,263,70,MANAGED,CC
73,1,262,MANAGED,CC
73,99,98,MANAGED,CC
73,139,40,MANAGED,CT
73,155,56,MANAGED,F1
73,226,127,MANAGED,CC
73,266,40,MANAGED,CT
74,71,128,MANAGED,CC
74,143,72,MANAGED,CC
74,220,77,MANAGED,CC
74,290,70,MANAGED,CC
76,71,308,MANAGED,CC
76,209,138,MANAGED,CC
76,298,89,MANAGED,CC
77,21,78,MANAGED,CC
77,94,73,MANAGED,CC
77,179,85,MANAGED,CC
77,255,76,MANAGED,CC
78,29,76,MANAGED,CC
78,111,82,MANAGED,CC
78,200,89,MANAGED,CC
78,293,93,MANAGED,CC
79,1,178,MANAGED,CC
79,91,90,MANAGED,CC
79,200,109,MANAGED,CC
79,298,98,MANAGED,CC
80,62,189,MANAGED,CC
80,102,40,MANAGED,CT
80,128,66,MANAGED,F1
80,190,128,MANAGED,CC
80,230,40,MANAGED,CT
80,300,110,MANAGED,CC
