CURVE,X,Y
87,0,0.1
390,0,0.1
234,0,0.15
1829,0,0.15
86,0,0.2
53,0,0.15
389,0,0.2
167,0,0.25
535,0,0.3
535,1,0.3
535,10,3.3
535,20,6.5
535,30,9.8
535,40,13
535,60,19.6
535,70,22.8
535,80,26.1
535,90,29.3
535,110,35.9
535,120,39.1
535,130,42.4
535,140,45.6
535,160,52.2
535,170,55.4
535,180,58.7
535,190,61.9
535,210,68.5
535,220,71.7
535,230,75
535,240,78.2
535,260,84.8
535,270,88
535,280,91.3
535,290,94.5
535,299,97.5
831,0,0.3
831,1,0.3
831,10,3.2
831,290,92.8
831,299,95.7
733,0,0.3
733,1,0.3
733,10,3.2
733,290,92.8
733,299,95.7
920,0,0.3
920,1,0.3
920,10,3.2
920,290,92.8
920,299,95.7
327,0,0.3
327,1,0.3
327,10,3.2
327,290,92.8
327,299,95.7
1609,0,0.3
1609,1,0.3
1609,10,3.3
1609,20,6.5
1609,30,9.8
1609,40,13
1609,60,19.6
1609,70,22.8
1609,80,26.1
1609,90,29.3
1609,110,35.9
1609,120,39.1
1609,130,42.4
1609,140,45.6
1609,160,52.2
1609,170,55.4
1609,180,58.7
1609,190,61.9
1609,210,68.5
1609,220,71.7
1609,230,75
1609,240,78.2
1609,260,84.8
1609,270,88
1609,280,91.3
1609,290,94.5
1609,299,97.5
563,0,0.3
563,1,0.3
563,10,3.3
563,20,6.5
563,30,9.8
563,40,13
563,60,19.6
563,70,22.8
563,80,26.1
563,90,29.3
563,110,35.9
563,120,39.1
563,130,42.4
563,140,45.6
563,160,52.2
563,170,55.4
563,180,58.7
563,190,61.9
563,210,68.5
563,220,71.7
563,230,75
563,240,78.2
563,260,84.8
563,270,88
563,280,91.3
563,290,94.5
563,299,97.5
296,0,0.3
296,1,0.3
296,10,3.2
296,290,92.8
296,299,95.7
906,0,0.3
906,1,0.3
906,10,3.2
906,290,92.8
906,299,95.7
195,0,0.3
195,1,0.3
195,10,3.2
195,290,92.8
195,299,95.7
1904,0,0.4
1904,1,0.4
1904,10,4.1
1904,290,118.9
1904,299,122.6
1480,0,0.5
1480,1,0.5
1480,10,4.8
1480,20,9.6
1480,30,14.3
1480,70,33.5
1480,80,38.2
1480,120,57.4
1480,130,62.1
1480,170,81.3
1480,180,86
1480,220,105.2
1480,230,109.9
1480,270,129.1
1480,280,133.8
1480,290,138.6
1480,299,142.9
699,0,0.5
699,1,0.5
699,10,5.2
699,20,10.4
699,30,15.7
699,70,36.5
699,80,41.8
699,120,62.6
699,130,67.9
699,170,88.7
699,180,94
699,220,114.8
699,230,120.1
699,270,140.9
699,280,146.2
699,290,151.4
699,299,156.1
682,0,0.5
682,1,0.5
682,10,5.2
682,20,10.4
682,30,15.7
682,70,36.5
682,80,41.8
682,120,62.6
682,130,67.9
682,170,88.7
682,180,94
682,220,114.8
682,230,120.1
682,270,140.9
682,280,146.2
682,290,151.4
682,299,156.1
1553,0,0.5
1553,1,0.5
1553,20,10
1553,30,14.9
1553,70,34.9
1553,80,39.8
1553,120,59.8
1553,130,64.7
1553,170,84.7
1553,180,89.6
1553,220,109.6
1553,230,114.5
1553,270,134.5
1553,280,139.4
1553,299,148.9
1464,0,0.5
1464,1,0.5
1464,20,10
1464,30,15.1
1464,70,35.1
1464,80,40.2
1464,120,60.2
1464,130,65.3
1464,170,85.3
1464,180,90.4
1464,220,110.4
1464,230,115.5
1464,270,135.5
1464,280,140.6
1464,299,150.1
1226,0,0.5
1226,1,0.5
1226,20,10
1226,30,15.1
1226,70,35.1
1226,80,40.2
1226,120,60.2
1226,130,65.3
1226,170,85.3
1226,180,90.4
1226,220,110.4
1226,230,115.5
1226,270,135.5
1226,280,140.6
1226,299,150.1
163,0,0.5
163,1,0.5
163,20,10
163,30,14.9
163,70,34.9
163,80,39.8
163,120,59.8
163,130,64.7
163,170,84.7
163,180,89.6
163,220,109.6
163,230,114.5
163,270,134.5
163,280,139.4
163,299,148.9
341,0,0.4
341,1,0.4
341,10,4.1
341,290,118.9
341,299,122.6
75,0,0.4
75,1,0.4
75,10,4.1
75,290,118.9
75,299,122.6
55,0,0.25
12,0,0.2
750,0,0.2
750,1,0.2
750,10,1.9
750,20,3.9
750,30,5.8
750,40,7.8
750,60,11.6
750,70,13.6
750,80,15.5
750,90,17.5
750,110,21.3
750,120,23.3
750,130,25.2
750,140,27.2
750,160,31
750,170,33
750,180,34.9
750,190,36.9
750,210,40.7
750,220,42.7
750,230,44.6
750,240,46.6
750,260,50.4
750,270,52.4
750,280,54.3
750,290,56.3
750,299,58
400,0,0.2
400,1,0.2
400,10,1.7
400,290,49.3
400,299,50.8
10,0,0.1
235,0,0.6
1580,0,0.6
1580,1,0.6
1580,10,5.7
1580,20,11.3
1580,30,17
1580,40,22.6
1580,60,34
1580,70,39.6
1580,80,45.3
1580,90,50.9
1580,110,62.3
1580,120,67.9
1580,130,73.6
1580,140,79.2
1580,160,90.6
1580,170,96.2
1580,180,101.9
1580,190,107.5
1580,210,118.9
1580,220,124.5
1580,230,130.2
1580,240,135.8
1580,260,147.2
1580,270,152.8
1580,280,158.5
1580,290,164.1
1580,299,169.2
1793,0,0.6
1793,1,0.6
1793,10,6.3
1793,20,12.6
1793,30,18.8
1793,70,44
1793,80,50.2
1793,120,75.4
1793,130,81.6
1793,170,106.8
1793,180,113
1793,220,138.2
1793,230,144.4
1793,270,169.6
1793,280,175.8
1793,290,182.1
1793,299,187.8
1696,0,0.6
1696,1,0.6
1696,10,6.3
1696,20,12.6
1696,30,18.8
1696,70,44
1696,80,50.2
1696,120,75.4
1696,130,81.6
1696,170,106.8
1696,180,113
1696,220,138.2
1696,230,144.4
1696,270,169.6
1696,280,175.8
1696,290,182.1
1696,299,187.8
472,0,0.6
472,1,0.6
472,10,6.3
472,20,12.6
472,30,18.8
472,70,44
472,80,50.2
472,120,75.4
472,130,81.6
472,170,106.8
472,180,113
472,220,138.2
472,230,144.4
472,270,169.6
472,280,175.8
472,290,182.1
472,299,187.8
1830,0,0.6
1681,0,0.6
1681,1,0.6
1681,10,6.3
1681,20,12.6
1681,30,18.8
1681,70,44
1681,80,50.2
1681,120,75.4
1681,130,81.6
1681,170,106.8
1681,180,113
1681,220,138.2
1681,230,144.4
1681,270,169.6
1681,280,175.8
1681,290,182.1
1681,299,187.8
426,0,0.6
426,1,0.6
426,10,6.3
426,20,12.6
426,30,18.8
426,70,44
426,80,50.2
426,120,75.4
426,130,81.6
426,170,106.8
426,180,113
426,220,138.2
426,230,144.4
426,270,169.6
426,280,175.8
426,290,182.1
426,299,187.8
54,0,0.6
1745,0,0.6
1745,1,0.6
1745,10,5.7
1745,20,11.3
1745,30,17
1745,40,22.6
1745,60,34
1745,70,39.6
1745,80,45.3
1745,90,50.9
1745,110,62.3
1745,120,67.9
1745,130,73.6
1745,140,79.2
1745,160,90.6
1745,170,96.2
1745,180,101.9
1745,190,107.5
