BLOCK,DELTA,AGE,TYPE,TREATMENT
1,98,155,MANAGED,CC
1,198,100,MANAGED,CC
2,106,163,MANAGED,CC
2,146,40,MANAGED,CT
2,197,91,MANAGED,CC
2,237,40,MANAGED,CT
2,267,70,MANAGED,CC
4,80,137,MANAGED,CC
4,169,89,MANAGED,CC
4,252,83,MANAGED,CC
6,100,187,MANAGED,CC
6,222,122,MANAGED,CC
7,147,204,MANAGED,CC
7,256,109,MANAGED,CC
7,296,40,MANAGED,CT
9,14,71,MANAGED,CC
9,92,78,MANAGED,CC
9,192,100,MANAGED,CC
9,282,90,MANAGED,CC
11,140,197,MANAGED,CC
11,221,81,MANAGED,CC
12,74,121,MANAGED,CC
12,170,96,MANAGED,CC
12,252,82,MANAGED,CC
13,48,95,MANAGED,CC
13,134,86,MANAGED,CC
13,204,70,MANAGED,CC
14,42,89,MANAGED,CC
14,82,40,MANAGED,CT
14,93,51,MANAGED,F1
14,122,80,MANAGED,CC
14,162,40,MANAGED,CT
14,173,51,MANAGED,F1
15,59,186,MANAGED,CC
15,142,83,MANAGED,CC
15,251,109,MANAGED,CC
16,221,348,MANAGED,CC
17,120,187,MANAGED,CC
17,200,80,MANAGED,CC
17,281,81,MANAGED,CC
20,32,79,MANAGED,CC
20,72,40,MANAGED,CT
20,111,79,MANAGED,CC
20,151,40,MANAGED,CT
20,203,92,MANAGED,CC
20,243,40,MANAGED,CT
20,295,92,MANAGED,CC
21,81,148,MANAGED,CC
21,172,91,MANAGED,CC
21,248,76,MANAGED,CC
22,22,79,MANAGED,CC
22,92,70,MANAGED,CC
22,180,88,MANAGED,CC
22,261,81,MANAGED,CC
23,12,139,MANAGED,CC
23,123,111,MANAGED,CC
23,212,89,MANAGED,CC
25,203,260,MANAGED,CC
25,283,80,MANAGED,CC
26,36,83,MANAGED,CC
26,111,75,MANAGED,CC
26,195,84,MANAGED,CC
26,281,86,MANAGED,CC
27,211,418,MANAGED,CC
28,17,74,MANAGED,CC
28,57,40,MANAGED,CT
28,99,82,MANAGED,CC
28,139,40,MANAGED,CT
28,172,73,MANAGED,CC
29,21,78,MANAGED,CC
29,211,190,MANAGED,CC
30,80,187,MANAGED,CC
30,171,91,MANAGED,CC
32,72,349,MANAGED,CC
32,112,40,MANAGED,CT
33,60,187,MANAGED,CC
33,100,40,MANAGED,CT
33,241,181,MANAGED,CC
34,221,458,MANAGED,CC
35,114,171,MANAGED,CC
35,213,99,MANAGED,CC
35,293,80,MANAGED,CC
36,23,70,MANAGED,CC
36,117,94,MANAGED,CC
36,195,78,MANAGED,CC
36,283,88,MANAGED,CC
37,1,128,MANAGED,CC
