BLOCK,DELTA,AGE,TYPE,TREATMENT
1,131,188,MANAGED,CC
1,240,109,MANAGED,CC
2,21,78,MANAGED,CC
2,92,71,MANAGED,CC
2,180,88,MANAGED,CC
2,272,92,MANAGED,CC
3,161,198,MANAGED,CC
3,280,119,MANAGED,CC
4,260,317,MANAGED,CC
6,181,268,MANAGED,CC
6,300,119,MANAGED,CC
7,62,119,MANAGED,CC
7,200,138,MANAGED,CC
9,26,83,MANAGED,CC
9,116,90,MANAGED,CC
9,211,95,MANAGED,CC
9,290,79,MANAGED,CC
11,80,137,MANAGED,CC
11,231,151,MANAGED,CC
12,51,98,MANAGED,CC
12,131,80,MANAGED,CC
12,220,89,MANAGED,CC
12,300,80,MANAGED,CC
13,61,108,MANAGED,CC
13,150,89,MANAGED,CC
13,240,90,MANAGED,CC
14,43,90,MANAGED,CC
14,130,87,MANAGED,CC
15,11,138,MANAGED,CC
15,101,90,MANAGED,CC
15,200,99,MANAGED,CC
15,300,100,MANAGED,CC
16,31,158,MANAGED,CC
16,160,129,MANAGED,CC
16,280,120,MANAGED,CC
17,93,160,MANAGED,CC
17,239,146,MANAGED,CC
19,1,128,MANAGED,CC
19,201,200,MANAGED,CC
19,300,99,MANAGED,CC
20,32,79,MANAGED,CC
20,110,78,MANAGED,CC
21,31,98,MANAGED,CC
21,114,83,MANAGED,CC
21,204,90,MANAGED,CC
21,280,76,MANAGED,CC
22,73,130,MANAGED,CC
22,184,111,MANAGED,CC
22,276,92,MANAGED,CC
25,102,159,MANAGED,CC
25,245,143,MANAGED,CC
26,153,200,MANAGED,CC
26,250,97,MANAGED,CC
27,11,218,MANAGED,CC
27,130,119,MANAGED,CC
27,272,142,MANAGED,CC
28,81,138,MANAGED,CC
28,186,105,MANAGED,CC
29,32,89,MANAGED,CC
29,121,89,MANAGED,CC
29,210,89,MANAGED,CC
29,300,90,MANAGED,CC
30,1,108,MANAGED,CC
30,120,119,MANAGED,CC
30,220,100,MANAGED,CC
32,199,476,MANAGED,CC
33,3,130,MANAGED,CC
33,110,107,MANAGED,CC
33,250,140,MANAGED,CC
34,11,248,MANAGED,CC
34,160,149,MANAGED,CC
34,280,120,MANAGED,CC
35,81,138,MANAGED,CC
35,171,90,MANAGED,CC
35,260,89,MANAGED,CC
36,30,77,MANAGED,CC
36,161,131,MANAGED,CC
36,240,79,MANAGED,CC
37,2,129,MANAGED,CC
37,181,179,MANAGED,CC
37,300,119,MANAGED,CC
40,51,288,MANAGED,CC
40,230,179,MANAGED,CC
41,40,97,MANAGED,CC
41,130,90,MANAGED,CC
41,220,90,MANAGED,CC
41,300,80,MANAGED,CC
42,10,137,MANAGED,CC
42,154,144,MANAGED,CC
42,299,145,MANAGED,CC
43,53,100,MANAGED,CC
43,162,109,MANAGED,CC
43,270,108,MANAGED,CC
44,51,108,MANAGED,CC
44,171,120,MANAGED,CC
44,290,119,MANAGED,CC
45,11,118,MANAGED,CC
45,141,130,MANAGED,CC
45,260,119,MANAGED,CC
46,161,398,MANAGED,CC
46,290,129,MANAGED,CC
47,23,100,MANAGED,CC
47,161,138,MANAGED,CC
47,260,99,MANAGED,CC
48,73,116,MANAGED,CC
48,177,104,MANAGED,CC
48,290,113,MANAGED,CC
49,99,146,MANAGED,CC
49,259,160,MANAGED,CC
50,161,398,MANAGED,CC
50,280,119,MANAGED,CC
51,29,132,MANAGED,CC
51,182,153,MANAGED,CC
53,11,188,MANAGED,CC
53,120,109,MANAGED,CC
53,280,160,MANAGED,CC
54,76,123,MANAGED,CC
54,216,140,MANAGED,CC
56,61,108,MANAGED,CC
56,200,139,MANAGED,CC
56,300,100,MANAGED,CC
57,101,148,MANAGED,CC
57,250,149,MANAGED,CC
58,1,238,MANAGED,CC
58,210,209,MANAGED,CC
61,1,108,MANAGED,CC
61,81,80,MANAGED,CC
61,164,83,MANAGED,CC
61,250,86,MANAGED,CC
62,116,163,MANAGED,CC
62,222,106,MANAGED,CC
63,51,98,MANAGED,CC
63,141,90,MANAGED,CC
63,230,89,MANAGED,CC
64,1,238,MANAGED,CC
64,191,190,MANAGED,CC
64,300,109,MANAGED,CC
66,41,98,MANAGED,CC
66,121,80,MANAGED,CC
66,210,89,MANAGED,CC
66,290,80,MANAGED,CC
67,51,98,MANAGED,CC
67,141,90,MANAGED,CC
67,220,79,MANAGED,CC
68,121,178,MANAGED,CC
68,230,109,MANAGED,CC
69,101,148,MANAGED,CC
69,229,128,MANAGED,CC
70,1,128,MANAGED,CC
70,191,190,MANAGED,CC
70,300,109,MANAGED,CC
71,81,208,MANAGED,CC
71,190,109,MANAGED,CC
71,300,110,MANAGED,CC
72,1,102,MANAGED,CC
72,80,79,MANAGED,CC
72,191,111,MANAGED,CC
72,270,79,MANAGED,CC
73,21,282,MANAGED,CC
73,170,149,MANAGED,CC
73,290,120,MANAGED,CC
74,33,90,MANAGED,CC
74,123,90,MANAGED,CC
74,213,90,MANAGED,CC
74,300,87,MANAGED,CC
76,1,238,MANAGED,CC
76,120,119,MANAGED,CC
76,230,110,MANAGED,CC
77,30,87,MANAGED,CC
77,187,157,MANAGED,CC
77,277,90,MANAGED,CC
78,61,108,MANAGED,CC
78,151,90,MANAGED,CC
78,240,89,MANAGED,CC
79,1,178,MANAGED,CC
79,91,90,MANAGED,CC
79,200,109,MANAGED,CC
79,300,100,MANAGED,CC
80,51,178,MANAGED,CC
80,200,149,MANAGED,CC
80,300,100,MANAGED,CC
81,1,308,MANAGED,CC
81,130,129,MANAGED,CC
81,280,150,MANAGED,CC
83,21,98,MANAGED,CC
83,181,160,MANAGED,CC
83,280,99,MANAGED,CC
84,104,161,MANAGED,CC
84,222,118,MANAGED,CC
85,20,77,MANAGED,CC
85,110,90,MANAGED,CC
85,201,91,MANAGED,CC
85,280,79,MANAGED,CC
86,61,158,MANAGED,CC
86,170,109,MANAGED,CC
86,300,130,MANAGED,CC
87,44,101,MANAGED,CC
87,137,93,MANAGED,CC
87,230,93,MANAGED,CC
89,1,108,MANAGED,CC
89,81,80,MANAGED,CC
89,171,90,MANAGED,CC
89,250,79,MANAGED,CC
90,17,74,MANAGED,CC
90,100,83,MANAGED,CC
90,196,96,MANAGED,CC
91,81,128,MANAGED,CC
91,240,159,MANAGED,CC
92,61,298,MANAGED,CC
92,150,89,MANAGED,CC
92,240,90,MANAGED,CC
95,74,131,MANAGED,CC
95,178,104,MANAGED,CC
95,300,122,MANAGED,CC
96,51,98,MANAGED,CC
96,151,100,MANAGED,CC
96,241,90,MANAGED,CC
97,31,88,MANAGED,CC
97,120,89,MANAGED,CC
97,211,91,MANAGED,CC
97,300,89,MANAGED,CC
98,41,278,MANAGED,CC
98,200,159,MANAGED,CC
98,300,100,MANAGED,CC
99,111,218,MANAGED,CC
99,260,149,MANAGED,CC
101,81,128,MANAGED,CC
101,211,130,MANAGED,CC
101,290,79,MANAGED,CC
102,23,70,MANAGED,CC
102,101,78,MANAGED,CC
102,180,79,MANAGED,CC
102,271,91,MANAGED,CC
103,31,268,MANAGED,CC
103,171,140,MANAGED,CC
103,290,119,MANAGED,CC
105,61,118,MANAGED,CC
105,200,139,MANAGED,CC
105,300,100,MANAGED,CC
107,31,388,MANAGED,CC
107,171,140,MANAGED,CC
