TRACK,STRATA
1,1.0 x 0+treatment()+AU(9.85502004E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.092696812276)
2,1.0 x 0+treatment()+AU(9.85502004E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.092696812276)
3,1.0 x 0+treatment()+AU(9.85503001E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
4,1.0 x 0+treatment()+AU(9.85503001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
5,1.0 x 0+treatment()+AU(9.85503001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.07)
6,1.0 x 0+treatment()+AU(9.85502003E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.791965212254)
7,1.0 x 0+treatment()+AU(9.85502003E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.791965212254)
8,1.0 x 0+treatment()+AU(9.85503E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
9,1.0 x 0+treatment()+AU(9.85503E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
10,1.0 x 0+treatment()+AU(9.85502004E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(1.0)
11,1.0 x 0+treatment()+AU(9.85501003E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.238383897113)
12,1.0 x 0+treatment()+AU(9.85501003E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.238383897113)
13,1.0 x 0+treatment()+AU(9.85501003E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.238383897113)
14,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0805447106444)
15,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0805447106444)
16,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.0805447106444)
17,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.0805447106444)
18,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.0805447106444)
19,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.0805447106444)
20,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(1.0)
21,1.0 x 0+treatment()+AU(9.85501E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
22,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
23,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.377644451279)
24,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.377644451279)
25,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.377644451279)
26,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.377644451279)
27,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.377644451279)
28,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.377644451279)
29,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.17612610503)
30,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.17612610503)
31,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.17612610503)
32,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.17612610503)
33,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.17612610503)
34,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.17612610503)
35,1.0 x 0+treatment()+AU(9.85503003E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.374104874003)
36,1.0 x 0+treatment()+AU(9.85503003E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.374104874003)
37,1.0 x 0+treatment()+AU(9.85503003E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.374104874003)
38,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.07)
39,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.07)
40,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
41,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.07)
42,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.07)
43,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.07)
44,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.07)
45,1.0 x 0+treatment()+AU(9.85501E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.233958494724)
46,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.233958494724)
47,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.233958494724)
48,1.0 x 0+treatment()+AU(9.85502003E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.973793839534)
49,1.0 x 0+treatment()+AU(9.85502003E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.973793839534)
50,1.0 x 0+treatment()+AU(9.85502003E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.973793839534)
51,1.0 x 0+treatment()+AU(9.85503001E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0743900243917)
52,1.0 x 0+treatment()+AU(9.85503001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0743900243917)
53,1.0 x 0+treatment()+AU(9.85503001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.0743900243917)
54,1.0 x 0+treatment()+AU(9.85503E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.07)
55,1.0 x 0+treatment()+AU(9.85503E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.07)
56,1.0 x 0+treatment()+AU(9.85501E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.245914084611)
57,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.245914084611)
58,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.245914084611)
59,1.0 x 0+treatment()+AU(9.85502006E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(1.0)
60,1.0 x 0+treatment()+AU(9.85501E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.233140682165)
61,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.233140682165)
62,1.0 x 0+treatment()+AU(9.85503E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.126259452096)
63,1.0 x 0+treatment()+AU(9.85503E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.126259452096)
64,1.0 x 0+treatment()+AU(9.85502007E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.303810256611)
