TRACK,OFFSET,NEXTAGE,CYCLE,AU,IFM,ORIGIN,SILV_STATE,RETENTION
1,0,0,0,9.85502004E8,unmanaged,planted,cc_pl,0.092696812276
2,0,0,0,9.85502004E8,managed,planted,cc_pl,0.092696812276
3,0,0,0,9.85503001E8,unmanaged,planted,cc_pl,0.07
4,0,0,0,9.85503001E8,managed,planted,cc_pl,0.07
5,0,0,0,9.85503001E8,managed,planted,cc_pl_ct,0.07
6,0,0,0,9.85502003E8,unmanaged,planted,cc_pl,0.791965212254
7,0,0,0,9.85502003E8,managed,planted,cc_pl,0.791965212254
8,0,0,0,9.85503E8,unmanaged,planted,cc_pl,0.07
9,0,0,0,9.85503E8,managed,planted,cc_pl,0.07
10,0,0,0,9.85502004E8,unmanaged,planted,cc_pl,1.0
11,0,0,0,9.85501003E8,unmanaged,natural,baseline,0.238383897113
12,0,0,0,9.85501003E8,managed,natural,baseline,0.238383897113
13,0,0,0,9.85501003E8,managed,planted,cc_pl,0.238383897113
14,0,0,0,9.85501001E8,unmanaged,planted,cc_pl,0.0805447106444
15,0,0,0,9.85501001E8,managed,planted,cc_pl,0.0805447106444
16,0,0,0,9.85501001E8,managed,planted,cc_pl_ct,0.0805447106444
17,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1,0.0805447106444
18,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2,0.0805447106444
19,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.0805447106444
20,0,0,0,9.85502002E8,unmanaged,natural,baseline,1.0
21,0,0,0,9.85501E8,unmanaged,planted,cc_pl,0.07
22,0,0,0,9.85501E8,managed,planted,cc_pl,0.07
23,0,0,0,9.85502001E8,unmanaged,planted,cc_pl,0.377644451279
24,0,0,0,9.85502001E8,managed,planted,cc_pl,0.377644451279
25,0,0,0,9.85502001E8,managed,planted,cc_pl_ct,0.377644451279
26,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1,0.377644451279
27,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2,0.377644451279
28,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.377644451279
29,0,0,0,9.85502001E8,unmanaged,planted,cc_pl,0.17612610503
30,0,0,0,9.85502001E8,managed,planted,cc_pl,0.17612610503
31,0,0,0,9.85502001E8,managed,planted,cc_pl_ct,0.17612610503
32,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1,0.17612610503
33,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2,0.17612610503
34,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.17612610503
35,0,0,0,9.85503003E8,unmanaged,natural,baseline,0.374104874003
36,0,0,0,9.85503003E8,managed,natural,baseline,0.374104874003
37,0,0,0,9.85503003E8,managed,planted,cc_pl,0.374104874003
38,0,0,0,9.85502002E8,unmanaged,natural,baseline,0.07
39,0,0,0,9.85502002E8,managed,natural,baseline,0.07
40,0,0,0,9.85502002E8,managed,planted,cc_pl,0.07
41,0,0,0,9.85502002E8,managed,planted,cc_pl_ct,0.07
42,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1,0.07
43,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2,0.07
44,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2_f3,0.07
45,0,0,0,9.85501E8,unmanaged,natural,baseline,0.233958494724
46,0,0,0,9.85501E8,managed,natural,baseline,0.233958494724
47,0,0,0,9.85501E8,managed,planted,cc_pl,0.233958494724
48,0,0,0,9.85502003E8,unmanaged,natural,baseline,0.973793839534
49,0,0,0,9.85502003E8,managed,natural,baseline,0.973793839534
50,0,0,0,9.85502003E8,managed,planted,cc_pl,0.973793839534
51,0,0,0,9.85503001E8,unmanaged,planted,cc_pl,0.0743900243917
52,0,0,0,9.85503001E8,managed,planted,cc_pl,0.0743900243917
53,0,0,0,9.85503001E8,managed,planted,cc_pl_ct,0.0743900243917
54,0,0,0,9.85503E8,unmanaged,natural,baseline,0.07
55,0,0,0,9.85503E8,managed,natural,baseline,0.07
56,0,0,0,9.85501E8,unmanaged,natural,baseline,0.245914084611
57,0,0,0,9.85501E8,managed,natural,baseline,0.245914084611
58,0,0,0,9.85501E8,managed,planted,cc_pl,0.245914084611
59,0,0,0,9.85502006E8,unmanaged,natural,baseline,1.0
60,0,0,0,9.85501E8,unmanaged,planted,cc_pl,0.233140682165
61,0,0,0,9.85501E8,managed,planted,cc_pl,0.233140682165
62,0,0,0,9.85503E8,unmanaged,planted,cc_pl,0.126259452096
63,0,0,0,9.85503E8,managed,planted,cc_pl,0.126259452096
64,0,0,0,9.85502007E8,unmanaged,natural,baseline,0.303810256611
65,0,0,0,9.85502007E8,managed,natural,baseline,0.303810256611
66,0,0,0,9.85502007E8,managed,planted,cc_pl,0.303810256611
67,0,0,0,9.85502001E8,unmanaged,planted,cc_pl,0.0952753308691
68,0,0,0,9.85502001E8,managed,planted,cc_pl,0.0952753308691
69,0,0,0,9.85502001E8,managed,planted,cc_pl_ct,0.0952753308691
70,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1,0.0952753308691
71,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2,0.0952753308691
72,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.0952753308691
73,0,0,0,9.85503E8,unmanaged,planted,cc_pl,0.499078884898
74,0,0,0,9.85503E8,managed,planted,cc_pl,0.499078884898
75,0,0,0,9.85503003E8,unmanaged,natural,baseline,0.787777652256
76,0,0,0,9.85503003E8,managed,natural,baseline,0.787777652256
77,0,0,0,9.85503003E8,managed,planted,cc_pl,0.787777652256
78,0,0,0,9.85502002E8,unmanaged,natural,baseline,0.336358892949
79,0,0,0,9.85502002E8,managed,natural,baseline,0.336358892949
80,0,0,0,9.85502002E8,managed,planted,cc_pl,0.336358892949
81,0,0,0,9.85502002E8,managed,planted,cc_pl_ct,0.336358892949
82,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1,0.336358892949
83,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2,0.336358892949
84,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2_f3,0.336358892949
85,0,0,0,9.85501001E8,unmanaged,natural,baseline,0.07
86,0,0,0,9.85501001E8,managed,natural,baseline,0.07
87,0,0,0,9.85501001E8,managed,planted,cc_pl,0.07
88,0,0,0,9.85501001E8,managed,planted,cc_pl_ct,0.07
89,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1,0.07
90,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2,0.07
91,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.07
92,0,0,0,9.85501003E8,unmanaged,natural,baseline,0.918579276429
93,0,0,0,9.85501003E8,managed,natural,baseline,0.918579276429
94,0,0,0,9.85501003E8,managed,planted,cc_pl,0.918579276429
95,0,0,0,9.85502003E8,unmanaged,natural,baseline,0.101502634874
96,0,0,0,9.85502003E8,managed,natural,baseline,0.101502634874
97,0,0,0,9.85502003E8,managed,planted,cc_pl,0.101502634874
98,0,0,0,9.85502002E8,unmanaged,planted,cc_pl,1.0
99,0,0,0,9.85501003E8,unmanaged,natural,baseline,0.07
100,0,0,0,9.85501003E8,managed,natural,baseline,0.07
101,0,0,0,9.85501003E8,managed,planted,cc_pl,0.07
102,0,0,0,9.85503E8,unmanaged,planted,cc_pl,0.125551549758
103,0,0,0,9.85503E8,managed,planted,cc_pl,0.125551549758
104,0,0,0,9.85501E8,unmanaged,natural,baseline,0.07
105,0,0,0,9.85501E8,managed,natural,baseline,0.07
106,0,0,0,9.85501001E8,unmanaged,planted,cc_pl,0.138068148104
107,0,0,0,9.85501001E8,managed,planted,cc_pl,0.138068148104
108,0,0,0,9.85501001E8,managed,planted,cc_pl_ct,0.138068148104
109,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1,0.138068148104
110,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2,0.138068148104
111,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.138068148104
112,0,0,0,9.85501E8,unmanaged,natural,baseline,0.12745779471
113,0,0,0,9.85501E8,managed,natural,baseline,0.12745779471
114,0,0,0,9.85501E8,managed,planted,cc_pl,0.12745779471
115,0,0,0,9.85501E8,unmanaged,natural,baseline,0.0906154823104
116,0,0,0,9.85501E8,managed,natural,baseline,0.0906154823104
117,0,0,0,9.85501E8,managed,planted,cc_pl,0.0906154823104
118,0,0,0,9.85502004E8,unmanaged,planted,cc_pl,0.286074558662
119,0,0,0,9.85502004E8,managed,planted,cc_pl,0.286074558662
120,0,0,0,9.85501001E8,unmanaged,planted,cc_pl,0.601783085223
121,0,0,0,9.85501001E8,managed,planted,cc_pl,0.601783085223
122,0,0,0,9.85501001E8,managed,planted,cc_pl_ct,0.601783085223
123,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1,0.601783085223
124,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2,0.601783085223
125,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.601783085223
126,0,0,0,9.85501003E8,unmanaged,natural,baseline,0.316831718676
127,0,0,0,9.85501003E8,managed,natural,baseline,0.316831718676
128,0,0,0,9.85501003E8,managed,planted,cc_pl,0.316831718676
129,0,0,0,9.85503003E8,unmanaged,natural,baseline,0.122959693532
130,0,0,0,9.85503003E8,managed,natural,baseline,0.122959693532
131,0,0,0,9.85503003E8,managed,planted,cc_pl,0.122959693532
132,0,0,0,9.85502002E8,unmanaged,natural,baseline,0.915365202588
133,0,0,0,9.85502002E8,managed,natural,baseline,0.915365202588
134,0,0,0,9.85502002E8,managed,planted,cc_pl,0.915365202588
135,0,0,0,9.85502002E8,managed,planted,cc_pl_ct,0.915365202588
136,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1,0.915365202588
137,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2,0.915365202588
138,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2_f3,0.915365202588
