BLOCK,TYPE,TRACK,OFFSET,AREA
72,unmanaged,186,101,5.1832
72,managed,187,101,5.7698
73,unmanaged,85,261,0.07858
73,managed,86,261,1.04399
74,unmanaged,193,57,3.29298
74,managed,194,57,1.43792
75,unmanaged,98,47,15.398
76,unmanaged,104,237,0.272319
76,managed,105,237,3.61796
77,unmanaged,8,57,0.34872
77,managed,9,57,4.63299
78,unmanaged,195,47,4.72816
78,managed,196,47,1.03067
79,unmanaged,183,177,0.299094
79,managed,184,177,3.97367
80,unmanaged,197,127,2.30058
80,managed,198,127,0.063042
81,unmanaged,204,307,1.4213
81,managed,205,307,1.61763
82,unmanaged,211,57,31.7658
83,unmanaged,212,77,0.205279
83,managed,213,77,1.72749
84,unmanaged,215,57,2.08925
84,managed,216,57,2.03992
85,unmanaged,217,57,0.081796
85,managed,218,57,1.06321
86,unmanaged,219,97,0.430605
86,managed,220,97,1.63353
87,unmanaged,222,57,1.98153
87,managed,223,57,9.7982
88,unmanaged,59,307,2.80289
89,unmanaged,224,107,4.71587
89,managed,225,107,2.84699
90,unmanaged,8,57,0.53656
90,managed,9,57,7.1285
91,unmanaged,227,47,2.12863
91,managed,228,47,5.383
92,unmanaged,233,237,1.95154
92,managed,234,237,1.09178
93,unmanaged,20,237,3.06129
94,unmanaged,20,307,6.5515
95,unmanaged,8,57,0.374262
95,managed,9,57,4.97234
96,unmanaged,236,47,9.5333
96,managed,237,47,15.1892
97,unmanaged,8,57,0.188309
97,managed,9,57,2.50182
98,unmanaged,239,237,5.1595
98,managed,240,237,0.90934
99,unmanaged,242,107,0.450998
99,managed,243,107,1.22314
100,unmanaged,59,357,11.0588
101,unmanaged,245,47,7.5603
101,managed,246,47,12.7759
102,unmanaged,251,47,3.38267
102,managed,252,47,16.1963
103,unmanaged,253,237,1.83197
103,managed,254,237,1.87527
104,unmanaged,156,237,10.685
105,unmanaged,260,57,4.17877
105,managed,261,57,0.156222
106,unmanaged,20,65,17.5999
107,unmanaged,262,357,0.480451
107,managed,263,357,2.28497
108,unmanaged,8,47,1.97262
108,managed,9,47,26.2076
109,unmanaged,269,57,3.51186
109,managed,270,57,30.3438
110,unmanaged,271,67,4.71206
110,managed,272,67,2.44835
111,unmanaged,274,307,6.7735
111,managed,275,307,0.9265
112,unmanaged,281,47,0.72912
112,managed,282,47,5.4514
113,unmanaged,3,47,2.86285
113,managed,4,47,38.035
114,unmanaged,21,47,0.336881
114,managed,22,47,4.4757
115,unmanaged,98,37,25.2158
116,unmanaged,283,107,1.8805
116,managed,284,107,2.53005
117,unmanaged,286,307,5.9836
118,unmanaged,287,277,2.65279
118,managed,288,277,0.116097
119,unmanaged,294,57,1.26021
119,managed,295,57,3.54653
120,unmanaged,296,57,2.24132
120,managed,297,57,27.3625
121,unmanaged,302,57,1.53978
121,managed,303,57,0.184409
122,unmanaged,304,127,2.80075
122,managed,305,127,0.346323
123,unmanaged,8,47,0.189711
123,managed,9,47,2.52045
124,unmanaged,20,457,7.2965
125,unmanaged,307,107,0.456125
125,managed,308,107,0.60937
126,unmanaged,310,47,0.261979
126,managed,185,47,3.48057
127,unmanaged,311,47,1.11044
127,managed,312,47,5.6953
128,unmanaged,314,57,2.78167
128,managed,315,57,2.47679
129,unmanaged,316,127,5.5022
129,managed,317,127,6.998
130,unmanaged,85,197,0.66725
130,managed,86,197,8.8649
131,unmanaged,323,237,0.179301
131,managed,324,237,1.49724
132,unmanaged,326,107,0.99567
132,managed,327,107,2.12196
133,unmanaged,329,57,4.39147
133,managed,330,57,1.6157
134,unmanaged,21,47,0.246357
134,managed,22,47,3.27303
135,unmanaged,331,57,4.6883
135,managed,332,57,3.37281
136,unmanaged,3,57,0.97032
136,managed,4,57,12.8914
137,unmanaged,334,47,1.62067
137,managed,335,47,4.48216
138,unmanaged,336,57,1.47146
138,managed,337,57,0.5402
139,unmanaged,338,47,1.21877
139,managed,339,47,1.38856
140,unmanaged,344,53,1.16355
140,managed,345,53,2.11921
141,unmanaged,139,57,0.169654
141,managed,140,57,2.25397
142,unmanaged,20,233,5.6962
143,unmanaged,59,307,7.1782
144,unmanaged,20,357,6.0447
145,unmanaged,350,107,1.62339
145,managed,351,107,4.9574
146,unmanaged,3,57,1.32414
146,managed,4,57,17.5922
147,unmanaged,8,57,0.33489
147,managed,9,57,4.44925
148,unmanaged,8,47,0.207774
148,managed,9,47,2.76043
149,unmanaged,8,47,0.447668
149,managed,9,47,5.9476
150,unmanaged,353,87,0.455034
150,managed,354,87,1.36054
151,unmanaged,8,47,0.173942
151,managed,9,47,2.31095
152,unmanaged,360,47,7.4122
152,managed,361,47,2.26879
153,unmanaged,104,127,1.24765
153,managed,105,127,16.5759
154,unmanaged,362,67,11.7351
154,managed,363,67,12.7668
155,unmanaged,365,127,5.6797
155,managed,366,127,10.6223
156,unmanaged,156,307,15.4116
157,unmanaged,286,357,4.19582
158,unmanaged,20,357,16.4668
159,unmanaged,368,107,1.27217
159,managed,369,107,16.9016
160,unmanaged,59,277,5.333
161,unmanaged,371,127,1.18335
161,managed,372,127,3.26695
162,unmanaged,374,59,2.16424
162,managed,375,59,15.1002
163,unmanaged,377,57,1.13846
163,managed,378,57,0.243862
164,unmanaged,379,107,0.6856
164,managed,380,107,5.7169
165,unmanaged,85,127,0.51149
165,managed,86,127,6.7956
166,unmanaged,382,47,1.44897
166,managed,383,47,5.0562
167,unmanaged,170,57,0.80338
167,managed,171,57,10.6735
168,unmanaged,388,107,0.8889
168,managed,389,107,4.0484
169,unmanaged,391,57,0.250463
169,managed,392,57,3.32757
170,unmanaged,54,103,1.28207
170,managed,55,103,17.0332
171,unmanaged,286,307,2.40017
172,unmanaged,393,247,2.10793
172,managed,394,247,3.02961
173,unmanaged,396,177,2.63822
173,managed,397,177,9.2925
174,unmanaged,20,307,4.87737
175,unmanaged,3,57,0.51745
175,managed,4,57,6.8746
176,unmanaged,54,127,0.250709
176,managed,55,127,3.33085
177,unmanaged,399,127,1.22739
177,managed,400,127,1.67296
178,unmanaged,402,57,0.69995
178,managed,403,57,2.83272
179,unmanaged,286,307,2.51518
180,unmanaged,139,47,0.339849
180,managed,140,47,4.51513
181,unmanaged,21,57,1.04375
181,managed,22,57,13.867
182,unmanaged,104,127,0.372854
182,managed,105,127,4.95364
183,unmanaged,404,47,2.73107
183,managed,405,47,10.612
184,unmanaged,406,57,1.20174
184,managed,407,57,9.9225
185,unmanaged,408,37,0.0292407
185,managed,40,37,0.388483
186,unmanaged,20,277,9.2513
187,unmanaged,409,77,1.31915
187,managed,410,77,2.55563
188,unmanaged,412,47,4.2765
188,managed,413,47,19.0544
189,unmanaged,8,47,0.474485
189,managed,9,47,6.3039
190,unmanaged,418,47,1.60799
191,unmanaged,419,57,3.59028
191,managed,420,57,9.6016
192,unmanaged,425,57,1.77956
192,managed,426,57,20.163
193,unmanaged,427,57,3.14452
193,managed,428,57,12.8465
194,unmanaged,20,307,5.5064
195,unmanaged,20,357,5.4823
196,unmanaged,429,67,0.412854
196,managed,430,67,5.4851
197,unmanaged,431,127,4.04866
197,managed,432,127,11.1442
198,unmanaged,434,47,1.84143
198,managed,435,47,0.213239
199,unmanaged,104,157,0.448196
199,managed,105,157,5.9546
200,unmanaged,440,237,1.02617
200,managed,441,237,1.11947
201,unmanaged,20,307,1.85975
202,unmanaged,447,57,4.66477
202,managed,448,57,6.0939
203,unmanaged,450,77,0.43893
203,managed,451,77,2.95068
204,unmanaged,453,57,1.35322
204,managed,454,57,7.1461
205,unmanaged,455,107,0.62434
205,managed,456,107,4.6487
206,unmanaged,458,107,0.83824
206,managed,459,107,10.0871
207,unmanaged,8,57,1.15388
207,managed,9,57,15.3301
208,unmanaged,8,47,0.74387
208,managed,9,47,9.8828
209,unmanaged,461,307,0.54103
209,managed,462,307,3.82527
210,unmanaged,464,127,0.487004
210,managed,465,127,6.4702
211,unmanaged,467,127,0.54984
211,managed,468,127,3.07641
212,unmanaged,470,77,3.79175
212,managed,471,77,8.1961
213,unmanaged,477,57,0.54103
213,managed,478,57,3.28982
214,unmanaged,59,357,4.97815
215,unmanaged,20,277,9.2429
216,unmanaged,479,107,0.370817
216,managed,480,107,0.64038
217,unmanaged,408,57,0.55943
217,managed,40,57,7.4324
218,unmanaged,183,127,0.83962
218,managed,184,127,11.1549
