TRACK,OFFSET,NEXTAGE,CYCLE,AU,IFM,ORIGIN,SILV_STATE,RETENTION
1,0,0,0,9.85502004E8,unmanaged,planted,cc_pl,0.092696812276
2,0,0,0,9.85502004E8,managed,planted,cc_pl,0.092696812276
3,0,0,0,9.85503001E8,unmanaged,planted,cc_pl,0.07
4,0,0,0,9.85503001E8,managed,planted,cc_pl,0.07
5,0,0,0,9.85503001E8,managed,planted,cc_pl_ct,0.07
6,0,0,0,9.85503001E8,managed,planted,cc_pl_ct_f1,0.07
7,0,0,0,9.85503001E8,managed,planted,cc_pl_ct_f1_f2,0.07
8,0,0,0,9.85503001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.07
9,0,0,0,9.85502003E8,unmanaged,planted,cc_pl,0.791965212254
10,0,0,0,9.85502003E8,managed,planted,cc_pl,0.791965212254
11,0,0,0,9.85503E8,unmanaged,planted,cc_pl,0.07
12,0,0,0,9.85503E8,managed,planted,cc_pl,0.07
13,0,0,0,9.85502004E8,unmanaged,planted,cc_pl,1.0
14,0,0,0,9.85501003E8,unmanaged,natural,baseline,0.238383897113
15,0,0,0,9.85501003E8,managed,natural,baseline,0.238383897113
16,0,0,0,9.85501003E8,managed,planted,cc_pl,0.238383897113
17,0,0,0,9.85501001E8,unmanaged,planted,cc_pl,0.0805447106444
18,0,0,0,9.85501001E8,managed,planted,cc_pl,0.0805447106444
19,0,0,0,9.85501001E8,managed,planted,cc_pl_ct,0.0805447106444
20,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1,0.0805447106444
21,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2,0.0805447106444
22,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.0805447106444
23,0,0,0,9.85502002E8,unmanaged,natural,baseline,1.0
24,0,0,0,9.85501E8,unmanaged,planted,cc_pl,0.07
25,0,0,0,9.85501E8,managed,planted,cc_pl,0.07
26,0,0,0,9.85502001E8,unmanaged,planted,cc_pl,0.377644451279
27,0,0,0,9.85502001E8,managed,planted,cc_pl,0.377644451279
28,0,0,0,9.85502001E8,managed,planted,cc_pl_ct,0.377644451279
29,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1,0.377644451279
30,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2,0.377644451279
31,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.377644451279
32,0,0,0,9.85502001E8,unmanaged,planted,cc_pl,0.17612610503
33,0,0,0,9.85502001E8,managed,planted,cc_pl,0.17612610503
34,0,0,0,9.85502001E8,managed,planted,cc_pl_ct,0.17612610503
35,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1,0.17612610503
36,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2,0.17612610503
37,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.17612610503
38,0,0,0,9.85503003E8,unmanaged,natural,baseline,0.374104874003
39,0,0,0,9.85503003E8,managed,natural,baseline,0.374104874003
40,0,0,0,9.85503003E8,managed,planted,cc_pl,0.374104874003
41,0,0,0,9.85502002E8,unmanaged,natural,baseline,0.07
42,0,0,0,9.85502002E8,managed,natural,baseline,0.07
43,0,0,0,9.85502002E8,managed,planted,cc_pl,0.07
44,0,0,0,9.85502002E8,managed,planted,cc_pl_ct,0.07
45,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1,0.07
46,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2,0.07
47,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2_f3,0.07
48,0,0,0,9.85501E8,unmanaged,natural,baseline,0.233958494724
49,0,0,0,9.85501E8,managed,natural,baseline,0.233958494724
50,0,0,0,9.85501E8,managed,planted,cc_pl,0.233958494724
51,0,0,0,9.85502003E8,unmanaged,natural,baseline,0.973793839534
52,0,0,0,9.85502003E8,managed,natural,baseline,0.973793839534
53,0,0,0,9.85502003E8,managed,planted,cc_pl,0.973793839534
54,0,0,0,9.85503001E8,unmanaged,planted,cc_pl,0.0743900243917
55,0,0,0,9.85503001E8,managed,planted,cc_pl,0.0743900243917
56,0,0,0,9.85503001E8,managed,planted,cc_pl_ct,0.0743900243917
57,0,0,0,9.85503001E8,managed,planted,cc_pl_ct_f1,0.0743900243917
58,0,0,0,9.85503001E8,managed,planted,cc_pl_ct_f1_f2,0.0743900243917
59,0,0,0,9.85503001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.0743900243917
60,0,0,0,9.85503E8,unmanaged,natural,baseline,0.07
61,0,0,0,9.85503E8,managed,natural,baseline,0.07
62,0,0,0,9.85501E8,unmanaged,natural,baseline,0.245914084611
63,0,0,0,9.85501E8,managed,natural,baseline,0.245914084611
64,0,0,0,9.85501E8,managed,planted,cc_pl,0.245914084611
65,0,0,0,9.85502006E8,unmanaged,natural,baseline,1.0
66,0,0,0,9.85501E8,unmanaged,planted,cc_pl,0.233140682165
67,0,0,0,9.85501E8,managed,planted,cc_pl,0.233140682165
68,0,0,0,9.85503E8,unmanaged,planted,cc_pl,0.126259452096
69,0,0,0,9.85503E8,managed,planted,cc_pl,0.126259452096
70,0,0,0,9.85502007E8,unmanaged,natural,baseline,0.303810256611
71,0,0,0,9.85502007E8,managed,natural,baseline,0.303810256611
72,0,0,0,9.85502007E8,managed,planted,cc_pl,0.303810256611
73,0,0,0,9.85502001E8,unmanaged,planted,cc_pl,0.0952753308691
74,0,0,0,9.85502001E8,managed,planted,cc_pl,0.0952753308691
75,0,0,0,9.85502001E8,managed,planted,cc_pl_ct,0.0952753308691
76,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1,0.0952753308691
77,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2,0.0952753308691
78,0,0,0,9.85502001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.0952753308691
79,0,0,0,9.85503E8,unmanaged,planted,cc_pl,0.499078884898
80,0,0,0,9.85503E8,managed,planted,cc_pl,0.499078884898
81,0,0,0,9.85503003E8,unmanaged,natural,baseline,0.787777652256
82,0,0,0,9.85503003E8,managed,natural,baseline,0.787777652256
83,0,0,0,9.85503003E8,managed,planted,cc_pl,0.787777652256
84,0,0,0,9.85502002E8,unmanaged,natural,baseline,0.336358892949
85,0,0,0,9.85502002E8,managed,natural,baseline,0.336358892949
86,0,0,0,9.85502002E8,managed,planted,cc_pl,0.336358892949
87,0,0,0,9.85502002E8,managed,planted,cc_pl_ct,0.336358892949
88,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1,0.336358892949
89,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2,0.336358892949
90,0,0,0,9.85502002E8,managed,planted,cc_pl_ct_f1_f2_f3,0.336358892949
91,0,0,0,9.85501001E8,unmanaged,natural,baseline,0.07
92,0,0,0,9.85501001E8,managed,natural,baseline,0.07
93,0,0,0,9.85501001E8,managed,planted,cc_pl,0.07
94,0,0,0,9.85501001E8,managed,planted,cc_pl_ct,0.07
95,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1,0.07
96,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2,0.07
97,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.07
98,0,0,0,9.85501003E8,unmanaged,natural,baseline,0.918579276429
99,0,0,0,9.85501003E8,managed,natural,baseline,0.918579276429
100,0,0,0,9.85501003E8,managed,planted,cc_pl,0.918579276429
101,0,0,0,9.85502003E8,unmanaged,natural,baseline,0.101502634874
102,0,0,0,9.85502003E8,managed,natural,baseline,0.101502634874
103,0,0,0,9.85502003E8,managed,planted,cc_pl,0.101502634874
104,0,0,0,9.85502002E8,unmanaged,planted,cc_pl,1.0
105,0,0,0,9.85501003E8,unmanaged,natural,baseline,0.07
106,0,0,0,9.85501003E8,managed,natural,baseline,0.07
107,0,0,0,9.85501003E8,managed,planted,cc_pl,0.07
108,0,0,0,9.85503E8,unmanaged,planted,cc_pl,0.125551549758
109,0,0,0,9.85503E8,managed,planted,cc_pl,0.125551549758
110,0,0,0,9.85501E8,unmanaged,natural,baseline,0.07
111,0,0,0,9.85501E8,managed,natural,baseline,0.07
112,0,0,0,9.85501001E8,unmanaged,planted,cc_pl,0.138068148104
113,0,0,0,9.85501001E8,managed,planted,cc_pl,0.138068148104
114,0,0,0,9.85501001E8,managed,planted,cc_pl_ct,0.138068148104
115,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1,0.138068148104
116,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2,0.138068148104
117,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.138068148104
118,0,0,0,9.85501E8,unmanaged,natural,baseline,0.12745779471
119,0,0,0,9.85501E8,managed,natural,baseline,0.12745779471
120,0,0,0,9.85501E8,managed,planted,cc_pl,0.12745779471
121,0,0,0,9.85501E8,unmanaged,natural,baseline,0.0906154823104
122,0,0,0,9.85501E8,managed,natural,baseline,0.0906154823104
123,0,0,0,9.85501E8,managed,planted,cc_pl,0.0906154823104
124,0,0,0,9.85502004E8,unmanaged,planted,cc_pl,0.286074558662
125,0,0,0,9.85502004E8,managed,planted,cc_pl,0.286074558662
126,0,0,0,9.85501001E8,unmanaged,planted,cc_pl,0.601783085223
127,0,0,0,9.85501001E8,managed,planted,cc_pl,0.601783085223
128,0,0,0,9.85501001E8,managed,planted,cc_pl_ct,0.601783085223
129,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1,0.601783085223
130,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2,0.601783085223
131,0,0,0,9.85501001E8,managed,planted,cc_pl_ct_f1_f2_f3,0.601783085223
132,0,0,0,9.85501003E8,unmanaged,natural,baseline,0.316831718676
133,0,0,0,9.85501003E8,managed,natural,baseline,0.316831718676
134,0,0,0,9.85501003E8,managed,planted,cc_pl,0.316831718676
135,0,0,0,9.85503003E8,unmanaged,natural,baseline,0.122959693532
136,0,0,0,9.85503003E8,managed,natural,baseline,0.122959693532
137,0,0,0,9.85503003E8,managed,planted,cc_pl,0.122959693532
138,0,0,0,9.85502002E8,unmanaged,natural,baseline,0.915365202588
